text,label
道路交通安全法第91条具体内容能贴一下吗,article_query
请提供劳动合同法第46条的具体条文,article_query
未成年犯偷税漏税罪怎么判,sentencing
诈骗罪这个罪名怎么理解,crime_definition
加盟合同被骗了怎么办,contract_dispute
我想看民法典第1165条全文,article_query
民法典第1079条具体内容能贴一下吗,article_query
贪污罪的量刑标准是什么,sentencing
掩饰隐瞒犯罪所得罪一般判几年,sentencing
诈骗罪的犯罪构成是什么,crime_elements
民法典第1191条有哪些规定,article_query
危险驾驶罪的构成要件有哪些,crime_elements
强奸罪最多判多少年,sentencing
法院认定故意杀人罪主要看什么,crime_elements
危险驾驶罪的概念是什么,crime_definition
事故认定书不服怎么办,traffic_accident
构成掩饰隐瞒犯罪所得罪需要满足什么条件,crime_elements
我想知道交通肇事罪指的是什么,crime_definition
谢谢，我先去准备材料了,thanks_bye
谢谢,thanks_bye
多少钱构成非法集资罪,crime_elements
初犯危险驾驶罪会轻判吗,sentencing
犯了贪污罪会判多久,sentencing
离婚时一方转移财产怎么办,family_law
贩卖毒品罪的概念是什么,crime_definition
抢劫罪的基准刑是多少,sentencing
被撞了可以主张哪些赔偿,traffic_accident
贪污罪一般判几年,sentencing
故意伤害罪退赃了能从轻处罚吗,sentencing
能通俗解释下帮助信息网络犯罪活动罪吗,crime_definition
怎么样才算构成职务侵占罪,crime_elements
帮我解释一下贩卖毒品罪这个词,crime_definition
构成强奸罪需要满足什么条件,crime_elements
未成年犯受贿罪怎么判,sentencing
被狗咬了主人要赔多少,civil_compensation
诈骗罪的含义是什么,crime_definition
受贿罪判三缓四是什么意思,sentencing
有人工吗,greeting
掩饰隐瞒犯罪所得罪的基准刑是多少,sentencing
敲诈勒索罪的犯罪客体是什么,crime_elements
贩卖毒品罪的量刑标准是什么,sentencing
职务侵占罪的犯罪客体是什么,crime_elements
敲诈勒索罪的定罪标准是什么,crime_elements
民法典第1191条具体内容能贴一下吗,article_query
麻烦讲讲贩卖毒品罪是什么罪,crime_definition
盗窃罪需要哪些证据才能定罪,crime_elements
犯了偷税漏税罪会判多久,sentencing
你好，能帮我个忙吗,greeting
民法典第1062条具体内容能贴一下吗,article_query
涉案金额两千元，危险驾驶罪会怎么判,sentencing
非法集资罪的定义是什么,crime_definition
酒驾怎么处罚,traffic_accident
高空抛物砸伤人谁赔偿,civil_compensation
美容院毁容怎么索赔,civil_compensation
受贿罪到底是怎么回事,crime_definition
辞职需要提前多少天通知,labor_dispute
危险驾驶罪到底是怎么回事,crime_definition
满足什么条件就构成抢劫罪了,crime_elements
初犯强奸罪会轻判吗,sentencing
构成偷税漏税罪需要满足什么条件,crime_elements
构成敲诈勒索罪需要满足什么条件,crime_elements
我想知道强奸罪指的是什么,crime_definition
帮我解释一下职务侵占罪这个词,crime_definition
能通俗解释下寻衅滋事罪吗,crime_definition
盗窃八万元会判几年,sentencing
竞业限制协议有效吗,labor_dispute
民法典第1165条是怎么规定的,article_query
请提供民法典第1084条的具体条文,article_query
盗窃罪的主观要件是什么,crime_elements
能不能简单介绍一下帮助信息网络犯罪活动罪,crime_definition
涉案金额五千元，诈骗罪会怎么判,sentencing
开设赌场罪属于什么类型的犯罪,crime_definition
交通肇事罪的量刑标准是什么,sentencing
故意伤害罪判三缓四是什么意思,sentencing
开设赌场罪判死刑吗,sentencing
非法集资罪的犯罪客体是什么,crime_elements
民法典第1191条的条文内容,article_query
把民法典第1062条发给我看看,article_query
请提供民法典第1079条的具体条文,article_query
盗窃两千元会判几年,sentencing
我想看民法典第1191条全文,article_query
构成故意杀人罪需要满足什么条件,crime_elements
公司不缴社保违法吗,labor_dispute
满足什么条件就构成故意杀人罪了,crime_elements
故意伤害罪最少判多久,sentencing
贩卖毒品罪法定刑是多少,sentencing
试用期被辞退有补偿吗,labor_dispute
危险驾驶罪法定刑是多少,sentencing
能通俗解释下贩卖毒品罪吗,crime_definition
被害人可以委托律师吗,criminal_procedure
交通事故诉讼时效是多久,traffic_accident
刑事诉讼法第67条有哪些规定,article_query
贩卖毒品罪最多判多少年,sentencing
诈骗罪退赃了能从轻处罚吗,sentencing
危险驾驶罪最少判多久,sentencing
在吗,greeting
消费者权益保护法第55条第几款怎么规定的,article_query
帮我解释一下抢劫罪这个词,crime_definition
民法典第1183条的内容是什么,article_query
满足什么条件就构成诈骗罪了,crime_elements
掩饰隐瞒犯罪所得罪有自首情节能减多少刑,sentencing
敲诈勒索罪量刑时会考虑哪些因素,sentencing
刑法第133条有哪些规定,article_query
犯了开设赌场罪会判多久,sentencing
强奸罪最少判多久,sentencing
劳动合同到期不续签有补偿吗,labor_dispute
交通肇事罪判死刑吗,sentencing
贩卖毒品罪的主观要件是什么,crime_elements
家暴怎么取证,family_law
合同丢了还能起诉吗,contract_dispute
